tracert 137.184.170.50

Tracing route to 137.184.170.50 over a maximum of 30 hops

  1     3 ms     2 ms     2 ms  mynetwork.home [192.168.2.1]
  2     4 ms     6 ms     6 ms  142.124.36.213
  3     *        *        *     Request timed out.
  4     *        *        *     Request timed out.
  5     6 ms     5 ms     4 ms  64.230.59.198
  6     *        *        *     Request timed out.
  7     5 ms     4 ms     4 ms  64.230.97.157
  8     4 ms     5 ms     4 ms  ix-be-9.ecore1.tnk-toronto.as6453.net [63.243.172.25]
  9     5 ms     4 ms     3 ms  66.110.50.163
 10     4 ms     5 ms     4 ms  143.244.224.38
 11     *        *        *     Request timed out.
 12     *        *        *     Request timed out.
 13     8 ms     6 ms     4 ms  137.184.170.50

Trace complete.
